Array Size[N],Threshold[S],Key Comparison 1, Key Comparison 2, Key Comparison 3, Key Comparison 4, Key Comparison 5,
1000000,2,18670579,18670316,18670935,18670795,18670678,18670660.6
1000000,3,18724075,18723334,18723673,18724126,18723535,18723748.6
1000000,4,18724075,18723334,18723673,18724126,18723535,18723748.6
1000000,5,18724075,18723334,18723673,18724126,18723535,18723748.6
1000000,6,18817434,18817082,18816594,18816958,18815884,18816790.4
1000000,7,19067605,19067479,19068415,19069123,19066089,19067742.2
1000000,8,19067605,19067479,19068415,19069123,19066089,19067742.2
1000000,9,19067605,19067479,19068415,19069123,19066089,19067742.2
1000000,10,19067605,19067479,19068415,19069123,19066089,19067742.2
1000000,11,19067605,19067479,19068415,19069123,19066089,19067742.2
1000000,12,19067605,19067479,19068415,19069123,19066089,19067742.2
1000000,13,19067605,19067479,19068415,19069123,19066089,19067742.2
1000000,14,19879699,19881882,19881413,19880885,19876732,19880122.2
1000000,15,20215661,20218755,20214455,20216098,20213486,20215691
1000000,16,20215661,20218755,20214455,20216098,20213486,20215691
1000000,17,20215661,20218755,20214455,20216098,20213486,20215691
1000000,18,20215661,20218755,20214455,20216098,20213486,20215691
1000000,19,20215661,20218755,20214455,20216098,20213486,20215691
1000000,20,20215661,20218755,20214455,20216098,20213486,20215691
