Array Size,Threshold[S],Key Comparison
1000,1,8709
1000,2,8711
1000,3,8801
1000,4,8801
1000,5,8801
1000,6,8852
1000,7,9186
1000,8,9186
1000,9,9186
1000,10,9186
1000,11,9186
1000,12,9186
1000,13,9186
1000,14,9594
1000,15,10468
1000,16,10468
1000,17,10468
1000,18,10468
1000,19,10468
1000,20,10468
2000,1,19408
2000,2,19416
2000,3,19565
2000,4,19565
2000,5,19565
2000,6,19651
2000,7,20281
2000,8,20281
2000,9,20281
2000,10,20281
2000,11,20281
2000,12,20281
2000,13,20281
2000,14,21073
2000,15,22746
2000,16,22746
2000,17,22746
2000,18,22746
2000,19,22746
2000,20,22746
4000,1,42793
4000,2,42795
4000,3,43069
4000,4,43069
4000,5,43069
4000,6,43232
4000,7,44557
4000,8,44557
4000,9,44557
4000,10,44557
4000,11,44557
4000,12,44557
4000,13,44557
4000,14,46200
4000,15,49419
4000,16,49419
4000,17,49419
4000,18,49419
4000,19,49419
4000,20,49419
8000,1,93621
8000,2,93637
8000,3,94232
8000,4,94232
8000,5,94232
8000,6,94560
8000,7,97273
8000,8,97273
8000,9,97273
8000,10,97273
8000,11,97273
8000,12,97273
8000,13,97273
8000,14,100489
8000,15,106864
8000,16,106864
8000,17,106864
8000,18,106864
8000,19,106864
8000,20,106864
10000,1,120463
10000,2,120440
10000,3,120518
10000,4,121513
10000,5,121513
10000,6,121513
10000,7,121513
10000,8,122485
10000,9,126989
10000,10,126989
10000,11,126989
10000,12,126989
10000,13,126989
10000,14,126989
10000,15,126989
10000,16,126989
10000,17,126989
10000,18,134252
10000,19,143589
10000,20,143589
16000,1,203264
16000,2,203270
16000,3,204316
16000,4,204316
16000,5,204316
16000,6,205045
16000,7,210341
16000,8,210341
16000,9,210341
16000,10,210341
16000,11,210341
16000,12,210341
16000,13,210341
16000,14,216755
16000,15,229685
16000,16,229685
16000,17,229685
16000,18,229685
16000,19,229685
16000,20,229685
32000,1,438518
32000,2,438518
32000,3,440514
32000,4,440514
32000,5,440514
32000,6,442046
32000,7,452648
32000,8,452648
32000,9,452648
32000,10,452648
32000,11,452648
32000,12,452648
32000,13,452648
32000,14,465487
32000,15,490851
32000,16,490851
32000,17,490851
32000,18,490851
32000,19,490851
32000,20,490851
64000,1,940972
64000,2,940950
64000,3,944737
64000,4,944737
64000,5,944737
64000,6,947737
64000,7,968266
64000,8,968266
64000,9,968266
64000,10,968266
64000,11,968266
64000,12,968266
64000,13,968266
64000,14,993831
64000,15,1043960
64000,16,1043960
64000,17,1043960
64000,18,1043960
64000,19,1043960
64000,20,1043960
100000,1,1536062
100000,2,1535731
100000,3,1536585
100000,4,1536585
100000,5,1554446
100000,6,1557603
100000,7,1557603
100000,8,1557603
100000,9,1557603
100000,10,1557603
100000,11,1619737
100000,12,1639361
100000,13,1639361
100000,14,1639361
100000,15,1639361
100000,16,1639361
100000,17,1639361
100000,18,1639361
100000,19,1639361
100000,20,1639361
128000,1,2010200
128000,2,2010234
128000,3,2017646
128000,4,2017646
128000,5,2017646
128000,6,2023459
128000,7,2063894
128000,8,2063894
128000,9,2063894
128000,10,2063894
128000,11,2063894
128000,12,2063894
