Array Size(N),Threshold(S),Key Comparison 1, Key Comparison 2, Key Comparison 3, Key Comparison 4, Key Comparison 5,Average Key Comparison,Array Size(N=1000),Array Size(N=2500),Array Size(N=5000),Array Size(N=7500),Array Size(N=10000),Array Size(N=25000),Array Size(N=50000),Array Size(N=75000),Array Size(N=100000),Array Size(N=250000),Array Size(N=500000),Array Size(N=750000),Array Size(N=1000000),Array Size(N=2500000),Array Size(N=5000000),Array Size(N=7500000),Array Size(N=10000000)
1000,2,8703,8691,8663,8721,8703,8696.2,8696.2,,,,,,,,,,,,,,,,
1000,3,8757,8765,8726,8801,8768,8763.4,8763.4,,,,,,,,,,,,,,,,
1000,4,8757,8765,8726,8801,8768,8763.4,8763.4,,,,,,,,,,,,,,,,
1000,5,8757,8765,8726,8801,8768,8763.4,8763.4,,,,,,,,,,,,,,,,
1000,6,8811,8829,8788,8837,8804,8813.8,8813.8,,,,,,,,,,,,,,,,
1000,7,9110,9140,9119,9194,9133,9139.2,9139.2,,,,,,,,,,,,,,,,
1000,8,9110,9140,9119,9194,9133,9139.2,9139.2,,,,,,,,,,,,,,,,
1000,9,9110,9140,9119,9194,9133,9139.2,9139.2,,,,,,,,,,,,,,,,
1000,10,9110,9140,9119,9194,9133,9139.2,9139.2,,,,,,,,,,,,,,,,
1000,11,9110,9140,9119,9194,9133,9139.2,9139.2,,,,,,,,,,,,,,,,
1000,12,9110,9140,9119,9194,9133,9139.2,9139.2,,,,,,,,,,,,,,,,
1000,13,9110,9140,9119,9194,9133,9139.2,9139.2,,,,,,,,,,,,,,,,
1000,14,9532,9473,9530,9544,9521,9520,9520,,,,,,,,,,,,,,,,
1000,15,10333,10225,10381,10376,10364,10335.8,10335.8,,,,,,,,,,,,,,,,
1000,16,10333,10225,10381,10376,10364,10335.8,10335.8,,,,,,,,,,,,,,,,
1000,17,10333,10225,10381,10376,10364,10335.8,10335.8,,,,,,,,,,,,,,,,
1000,18,10333,10225,10381,10376,10364,10335.8,10335.8,,,,,,,,,,,,,,,,
1000,19,10333,10225,10381,10376,10364,10335.8,10335.8,,,,,,,,,,,,,,,,
1000,20,10333,10225,10381,10376,10364,10335.8,10335.8,,,,,,,,,,,,,,,,
2500,2,25133,25150,25115,25103,25151,25130.4,,25130.4,,,,,,,,,,,,,,,
2500,3,25151,25176,25136,25120,25159,25148.4,,25148.4,,,,,,,,,,,,,,,
2500,4,25437,25491,25354,25356,25443,25416.2,,25416.2,,,,,,,,,,,,,,,
2500,5,25437,25491,25354,25356,25443,25416.2,,25416.2,,,,,,,,,,,,,,,
2500,6,25437,25491,25354,25356,25443,25416.2,,25416.2,,,,,,,,,,,,,,,
2500,7,25437,25491,25354,25356,25443,25416.2,,25416.2,,,,,,,,,,,,,,,
2500,8,25676,25747,25618,25587,25662,25658,,25658,,,,,,,,,,,,,,,
2500,9,26847,26913,26708,26644,26770,26776.4,,26776.4,,,,,,,,,,,,,,,
2500,10,26847,26913,26708,26644,26770,26776.4,,26776.4,,,,,,,,,,,,,,,
2500,11,26847,26913,26708,26644,26770,26776.4,,26776.4,,,,,,,,,,,,,,,
2500,12,26847,26913,26708,26644,26770,26776.4,,26776.4,,,,,,,,,,,,,,,
2500,13,26847,26913,26708,26644,26770,26776.4,,26776.4,,,,,,,,,,,,,,,
2500,14,26847,26913,26708,26644,26770,26776.4,,26776.4,,,,,,,,,,,,,,,
2500,15,26847,26913,26708,26644,26770,26776.4,,26776.4,,,,,,,,,,,,,,,
2500,16,26847,26913,26708,26644,26770,26776.4,,26776.4,,,,,,,,,,,,,,,
2500,17,26847,26913,26708,26644,26770,26776.4,,26776.4,,,,,,,,,,,,,,,
2500,18,28809,28718,28543,28476,28672,28643.6,,28643.6,,,,,,,,,,,,,,,
2500,19,31209,30848,31010,30744,31173,30996.8,,30996.8,,,,,,,,,,,,,,,
2500,20,31209,30848,31010,30744,31173,30996.8,,30996.8,,,,,,,,,,,,,,,
5000,2,55241,55237,55230,55187,55190,55217,,,55217,,,,,,,,,,,,,,
5000,3,55271,55291,55247,55223,55229,55252.2,,,55252.2,,,,,,,,,,,,,,
5000,4,55700,55786,55795,55790,55699,55754,,,55754,,,,,,,,,,,,,,
5000,5,55700,55786,55795,55790,55699,55754,,,55754,,,,,,,,,,,,,,
5000,6,55700,55786,55795,55790,55699,55754,,,55754,,,,,,,,,,,,,,
5000,7,55700,55786,55795,55790,55699,55754,,,55754,,,,,,,,,,,,,,
5000,8,56194,56290,56325,56287,56171,56253.4,,,56253.4,,,,,,,,,,,,,,
