Array Size(N),Threshold(S), Time 1, Time 2, Time 3, Time 4, Time 5,Average Time
10000000, Traditional Merge,2.509,2.437,2.55,2.556,2.54,2.5184
10000000,2,1.915,1.828,1.842,1.869,1.844,1.8596
10000000,3,1.854,1.79,1.793,1.791,1.817,1.809
10000000,4,1.662,1.616,1.614,1.601,1.606,1.6198
10000000,5,1.663,1.648,1.632,1.616,1.649,1.6416
10000000,6,1.68,1.663,1.619,1.618,1.602,1.6364
10000000,7,1.678,1.62,1.622,1.588,1.603,1.6222
10000000,8,1.632,1.569,1.554,1.558,1.556,1.5738
10000000,9,1.556,1.468,1.482,1.464,1.493,1.4926
10000000,10,1.553,1.515,1.476,1.495,1.49,1.5058
10000000,11,1.553,1.538,1.551,1.522,1.537,1.5402
10000000,12,1.553,1.537,1.491,1.539,1.475,1.519
10000000,13,1.552,1.49,1.481,1.507,1.518,1.5096
10000000,14,1.553,1.477,1.539,1.539,1.496,1.5208
10000000,15,1.539,1.486,1.482,1.553,1.506,1.5132
10000000,16,1.554,1.537,1.508,1.491,1.493,1.5166
10000000,17,1.553,1.522,1.538,1.49,1.494,1.5194
10000000,18,1.515,1.464,1.445,1.516,1.508,1.4896
10000000,19,1.506,1.459,1.434,1.459,1.453,1.4622
10000000,20,1.507,1.444,1.476,1.504,1.463,1.4788
10000000,21,1.537,1.458,1.446,1.447,1.446,1.4668
10000000,22,1.521,1.491,1.431,1.429,1.43,1.4604
10000000,23,1.506,1.507,1.499,1.458,1.428,1.4796
10000000,24,1.546,1.504,1.474,1.486,1.507,1.5034
10000000,25,1.515,1.475,1.458,1.491,1.426,1.473
10000000,26,1.522,1.445,1.446,1.492,1.46,1.473
10000000,27,1.522,1.435,1.451,1.493,1.445,1.4692
10000000,28,1.522,1.475,1.482,1.452,1.452,1.4766
10000000,29,1.506,1.437,1.434,1.506,1.462,1.469
10000000,30,1.553,1.506,1.475,1.506,1.476,1.5032
10000000,31,1.524,1.455,1.444,1.474,1.521,1.4836
10000000,32,1.537,1.492,1.469,1.461,1.444,1.4806
10000000,33,1.537,1.49,1.445,1.466,1.446,1.4768
10000000,34,1.505,1.477,1.458,1.568,1.461,1.4938
10000000,35,1.537,1.505,1.461,1.446,1.447,1.4792
10000000,36,1.537,1.508,1.459,1.475,1.461,1.488
10000000,37,1.615,1.537,1.494,1.506,1.507,1.5318
10000000,38,1.6,1.523,1.538,1.506,1.538,1.541
10000000,39,1.6,1.569,1.553,1.539,1.493,1.5508
10000000,40,1.631,1.54,1.539,1.522,1.507,1.5478
