Vertices,Time 1,Time 2,Time 3,Time 4,Time 5,Average Time
100,0,0,0,0,0,0
200,0,0,0,0,0,0
300,0.003,0,0,0,0,0.0006
400,0,0,0,0,0,0
500,0.006,0.004,0,0,0,0.002
600,0,0.005,0.001,0,0,0.0012
700,0,0.003,0.007,0.005,0.011,0.0052
800,0.004,0.001,0,0,0,0.001
900,0.002,0.005,0.011,0.005,0.012,0.007
1000,0.005,0.006,0.005,0.006,0.013,0.007
1100,0.004,0.01,0.007,0.002,0.005,0.0056
1200,0.004,0.01,0.005,0.004,0.01,0.0066
1300,0.005,0.011,0.01,0.01,0.005,0.0082
1400,0.01,0.01,0.01,0.016,0.01,0.0112
1500,0.015,0.012,0.01,0.016,0.01,0.0126
1600,0.01,0.015,0.012,0.009,0.01,0.0112
1700,0.015,0.016,0.015,0.015,0.016,0.0154
1800,0.015,0.01,0.019,0.019,0.016,0.0158
1900,0.02,0.02,0.023,0.02,0.021,0.0208
2000,0.024,0.025,0.025,0.02,0.022,0.0232
2100,0.027,0.03,0.031,0.021,0.031,0.028
2200,0.027,0.03,0.028,0.025,0.03,0.028
2300,0.028,0.024,0.021,0.03,0.028,0.0262
2400,0.035,0.032,0.037,0.032,0.029,0.033
2500,0.033,0.031,0.039,0.032,0.03,0.033
2600,0.041,0.032,0.032,0.035,0.043,0.0366
2700,0.039,0.041,0.041,0.043,0.038,0.0404
2800,0.042,0.041,0.04,0.044,0.042,0.0418
2900,0.046,0.038,0.045,0.04,0.04,0.0418
3000,0.049,0.05,0.05,0.05,0.048,0.0494
3100,0.055,0.051,0.049,0.054,0.05,0.0518
3200,0.056,0.055,0.055,0.05,0.057,0.0546
3300,0.06,0.06,0.061,0.06,0.064,0.061
3400,0.064,0.062,0.064,0.066,0.064,0.064
3500,0.069,0.062,0.068,0.069,0.064,0.0664
3600,0.065,0.071,0.071,0.065,0.075,0.0694
3700,0.074,0.073,0.075,0.071,0.076,0.0738
3800,0.075,0.08,0.08,0.075,0.079,0.0778
3900,0.08,0.086,0.08,0.081,0.08,0.0814
4000,0.086,0.081,0.08,0.085,0.085,0.0834
