Vertices (V),Edges (E),Time 1,Time 2,Time 3,Time 4,Time 5,Average Time
2000,999500,0.082,0.091,0.091,0.078,0.08,0.0844
2000,1019500,0.081,0.082,0.088,0.081,0.081,0.0826
2000,1039500,0.085,0.082,0.08,0.084,0.081,0.0824
2000,1059500,0.09,0.095,0.085,0.087,0.095,0.0904
2000,1079500,0.086,0.09,0.085,0.081,0.086,0.0856
2000,1099500,0.087,0.09,0.082,0.089,0.088,0.0872
2000,1119500,0.087,0.09,0.093,0.085,0.091,0.0892
2000,1139500,0.091,0.089,0.096,0.096,0.092,0.0928
2000,1159500,0.092,0.096,0.096,0.095,0.096,0.095
2000,1179500,0.098,0.102,0.096,0.096,0.098,0.098
2000,1199500,0.103,0.102,0.103,0.095,0.092,0.099
2000,1219500,0.103,0.098,0.101,0.101,0.1,0.1006
2000,1239500,0.099,0.102,0.102,0.107,0.106,0.1032
2000,1259500,0.104,0.104,0.105,0.105,0.102,0.104
2000,1279500,0.11,0.11,0.122,0.111,0.104,0.1114
2000,1299500,0.106,0.112,0.106,0.114,0.112,0.11
2000,1319500,0.113,0.115,0.111,0.111,0.108,0.1116
2000,1339500,0.113,0.107,0.111,0.117,0.113,0.1122
2000,1359500,0.118,0.117,0.113,0.116,0.116,0.116
2000,1379500,0.117,0.125,0.117,0.114,0.115,0.1176
2000,1399500,0.122,0.118,0.118,0.122,0.122,0.1204
2000,1419500,0.123,0.123,0.122,0.126,0.123,0.1234
2000,1439500,0.124,0.125,0.133,0.124,0.123,0.1258
2000,1459500,0.128,0.128,0.128,0.127,0.122,0.1266
2000,1479500,0.129,0.131,0.126,0.128,0.126,0.128
2000,1499500,0.149,0.145,0.132,0.133,0.132,0.1382
2000,1519500,0.137,0.135,0.132,0.133,0.139,0.1352
2000,1539500,0.135,0.135,0.138,0.139,0.14,0.1374
2000,1559500,0.143,0.139,0.13,0.138,0.139,0.1378
2000,1579500,0.135,0.14,0.132,0.134,0.131,0.1344
2000,1599500,0.137,0.133,0.154,0.151,0.139,0.1428
2000,1619500,0.145,0.147,0.141,0.14,0.147,0.144
2000,1639500,0.145,0.146,0.133,0.141,0.141,0.1412
2000,1659500,0.148,0.153,0.142,0.143,0.152,0.1476
2000,1679500,0.152,0.142,0.15,0.151,0.148,0.1486
2000,1699500,0.149,0.144,0.146,0.15,0.149,0.1476
2000,1719500,0.147,0.151,0.156,0.149,0.149,0.1504
2000,1739500,0.16,0.155,0.152,0.151,0.145,0.1526
2000,1759500,0.153,0.159,0.156,0.149,0.151,0.1536
2000,1779500,0.154,0.154,0.158,0.156,0.155,0.1554
2000,1799500,0.152,0.154,0.16,0.157,0.16,0.1566
2000,1819500,0.164,0.161,0.162,0.159,0.168,0.1628
2000,1839500,0.166,0.167,0.166,0.167,0.163,0.1658
2000,1859500,0.164,0.164,0.181,0.19,0.165,0.1728
2000,1879500,0.165,0.172,0.172,0.173,0.167,0.1698
2000,1899500,0.173,0.171,0.167,0.163,0.171,0.169
2000,1919500,0.174,0.166,0.176,0.191,0.181,0.1776
2000,1939500,0.179,0.203,0.181,0.174,0.172,0.1818
2000,1959500,0.179,0.178,0.172,0.176,0.183,0.1776
2000,1979500,0.181,0.207,0.176,0.182,0.179,0.185
2000,1999500,0.201,0.184,0.183,0.182,0.173,0.1846
2000,2019500,0.176,0.181,0.177,0.181,0.18,0.179
2000,2039500,0.188,0.192,0.191,0.211,0.188,0.194
2000,2059500,0.184,0.216,0.214,0.202,0.189,0.201
2000,2079500,0.193,0.191,0.187,0.194,0.189,0.1908
2000,2099500,0.196,0.192,0.192,0.195,0.19,0.193
2000,2119500,0.202,0.191,0.224,0.198,0.209,0.2048
2000,2139500,0.199,0.197,0.199,0.194,0.192,0.1962
2000,2159500,0.195,0.196,0.202,0.196,0.223,0.2024
2000,2179500,0.204,0.192,0.227,0.226,0.218,0.2134
2000,2199500,0.194,0.199,0.201,0.207,0.203,0.2008
2000,2219500,0.197,0.205,0.203,0.197,0.205,0.2014
2000,2239500,0.214,0.205,0.207,0.207,0.225,0.2116
2000,2259500,0.208,0.217,0.21,0.206,0.209,0.21
2000,2279500,0.208,0.208,0.212,0.212,0.214,0.2108
2000,2299500,0.214,0.256,0.207,0.212,0.244,0.2266
2000,2319500,0.209,0.213,0.216,0.21,0.213,0.2122
2000,2339500,0.217,0.215,0.218,0.213,0.218,0.2162
2000,2359500,0.245,0.22,0.227,0.214,0.213,0.2238
2000,2379500,0.23,0.221,0.214,0.22,0.226,0.2222
2000,2399500,0.229,0.234,0.215,0.234,0.249,0.2322
2000,2419500,0.226,0.256,0.225,0.223,0.216,0.2292
